2024-05-25 08:07:21,388 INFO    StreamThr :2257419 [internal.py:wandb_internal():85] W&B internal server running at pid: 2257419, started at: 2024-05-25 08:07:21.387834
2024-05-25 08:07:21,389 DEBUG   HandlerThread:2257419 [handler.py:handle_request():158] handle_request: status
2024-05-25 08:07:21,391 INFO    WriterThread:2257419 [datastore.py:open_for_write():87] open: /home/burning_event/wandb/run-20240525_080721-z3bdj7cf/run-z3bdj7cf.wandb
2024-05-25 08:07:21,392 DEBUG   SenderThread:2257419 [sender.py:send():378] send: header
2024-05-25 08:07:21,399 DEBUG   SenderThread:2257419 [sender.py:send():378] send: run
2024-05-25 08:07:21,860 INFO    SenderThread:2257419 [dir_watcher.py:__init__():211] watching files in: /home/burning_event/wandb/run-20240525_080721-z3bdj7cf/files
2024-05-25 08:07:21,861 INFO    SenderThread:2257419 [sender.py:_start_run_threads():1123] run started: z3bdj7cf with start time 1716624441.387454
2024-05-25 08:07:21,870 DEBUG   HandlerThread:2257419 [handler.py:handle_request():158] handle_request: check_version
2024-05-25 08:07:21,870 DEBUG   SenderThread:2257419 [sender.py:send_request():405] send_request: check_version
2024-05-25 08:07:21,945 DEBUG   HandlerThread:2257419 [handler.py:handle_request():158] handle_request: run_start
2024-05-25 08:07:21,956 DEBUG   HandlerThread:2257419 [system_info.py:__init__():26] System info init
2024-05-25 08:07:21,956 DEBUG   HandlerThread:2257419 [system_info.py:__init__():41] System info init done
2024-05-25 08:07:21,956 INFO    HandlerThread:2257419 [system_monitor.py:start():194] Starting system monitor
2024-05-25 08:07:21,956 INFO    SystemMonitor:2257419 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-05-25 08:07:21,957 INFO    HandlerThread:2257419 [system_monitor.py:probe():214] Collecting system info
2024-05-25 08:07:21,957 INFO    SystemMonitor:2257419 [interfaces.py:start():188] Started cpu monitoring
2024-05-25 08:07:21,958 INFO    SystemMonitor:2257419 [interfaces.py:start():188] Started disk monitoring
2024-05-25 08:07:21,959 INFO    SystemMonitor:2257419 [interfaces.py:start():188] Started gpu monitoring
2024-05-25 08:07:21,959 INFO    SystemMonitor:2257419 [interfaces.py:start():188] Started memory monitoring
